trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",25,11,-119.40653937338497,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 2}",1
2,False,"{'a': 0.5, 'e': 0.9801}",25,18,10.460742865560032,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.9702989999999999}",20,0,-87.09972607593836,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.96059601}",25,0,-54.66630664570495,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",25,0,-85.17932953531916,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9414801494009999}",25,0,-179.61336553282277,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",20,0,-62.09402012918068,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.92274469442792}",20,0,-24.275486238567158,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9135172474836407}",25,0,-116.56691857343596,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9043820750088043}",30,8,-122.4222193297868,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 2}",1
11,False,"{'a': 0.5, 'e': 0.8953382542587163}",20,0,-81.35396563139543,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.8863848717161291}",20,0,-72.94249947718878,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",25,0,-101.1965950699888,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.8687458127689781}",25,12,-69.16396905173559,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.8600583546412883}",25,0,-76.11953657672639,"{0: 15, 1: 5, 2: 3, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.8514577710948754}",25,0,-182.169786049884,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.8429431933839266}",20,3,-42.866224093655916,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.8345137614500874}",25,0,-97.9707432737718,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.8261686238355865}",25,0,-82.72641941232268,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.8179069375972307}",25,0,-34.680717100508986,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.8097278682212583}",20,0,-86.81716836292631,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.8016305895390458}",30,0,-86.11775614027209,"{0: 20, 1: 2, 2: 6, 3: 2, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.7936142836436553}",25,0,-157.0642648824467,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
24,False,"{'a': 0.5, 'e': 0.7856781408072188}",30,18,-7.894562462887972,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.7778213593991465}",20,12,-21.381855217272665,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.7700431458051551}",30,0,-77.55185029323356,"{0: 22, 1: 3, 2: 3, 3: 1, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.7623427143471035}",20,0,-149.552746876287,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 3}",0
28,False,"{'a': 0.5, 'e': 0.7547192872036325}",30,9,-105.43755105632904,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 2}",1
29,False,"{'a': 0.5, 'e': 0.7471720943315961}",30,0,-104.51309550896318,"{0: 22, 1: 4, 2: 1, 3: 1, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.7397003733882802}",30,16,12.69747599961627,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.7323033696543974}",20,9,-62.37301386384954,"{0: 5, 1: 0, 2: 5, 3: 1, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.7249803359578534}",25,14,-2.6437482590021895,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.7177305325982748}",30,7,-6.969497829109342,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.7105532272722921}",25,2,-49.70391888262195,"{0: 18, 1: 1, 2: 1, 3: 3, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.7034476949995692}",20,0,-99.01532329943927,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
36,False,"{'a': 0.5, 'e': 0.6964132180495735}",20,5,-27.034285227222295,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.6894490858690777}",20,0,-51.92298502545448,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.682554595010387}",20,1,-127.29900968857963,"{0: 12, 1: 2, 2: 1, 3: 2, 4: 2}",1
39,False,"{'a': 0.5, 'e': 0.6757290490602831}",25,18,5.2180730610555415,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.6689717585696803}",25,0,-48.033693177136065,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.6622820409839835}",20,0,-18.58397684581217,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.6556592205741436}",25,5,-109.13285987160656,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",1
43,False,"{'a': 0.5, 'e': 0.6491026283684022}",20,3,-158.53901385646478,"{0: 8, 1: 2, 2: 4, 3: 0, 4: 3}",1
44,False,"{'a': 0.5, 'e': 0.6426116020847181}",20,5,-74.72445427883031,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 1}",1
45,False,"{'a': 0.5, 'e': 0.6361854860638709}",20,0,-53.553653387238725,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.6298236312032323}",25,20,4.3222800397453165,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.6235253948912}",25,0,-38.62980163918661,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.617290140942288}",25,4,-4.834358953499799,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.6111172395328651}",25,13,-6.6269266798692,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.6050060671375365}",20,0,-11.343172988765481,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.5989560064661611}",30,0,-163.5452516585524,"{0: 21, 1: 0, 2: 5, 3: 1, 4: 3}",0
52,False,"{'a': 0.5, 'e': 0.5929664464014994}",30,0,-67.28525588951842,"{0: 21, 1: 0, 2: 8, 3: 1, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.5870367819374844}",20,2,-32.67298390077267,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.5811664141181095}",30,12,-67.04972711994216,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 2}",1
55,False,"{'a': 0.5, 'e': 0.5753547499769285}",30,21,-3.8113932725988358,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.5696012024771592}",20,0,-48.135429885194526,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.5639051904523876}",35,0,-204.78102041202408,"{0: 22, 1: 5, 2: 2, 3: 2, 4: 4}",0
58,False,"{'a': 0.5, 'e': 0.5582661385478638}",20,2,-100.1920785067911,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 3}",1
59,False,"{'a': 0.5, 'e': 0.5526834771623851}",20,0,-58.1228775132164,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.5471566423907612}",20,3,-33.466054896924796,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
61,False,"{'a': 0.5, 'e': 0.5416850759668536}",20,2,-19.284345791848022,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.536268225207185}",35,0,-96.52762905814728,"{0: 25, 1: 2, 2: 6, 3: 1, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.5309055429551132}",20,0,-16.08591285413322,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.525596487525562}",25,3,-12.163101902432292,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.5203405226503064}",20,1,-30.278919148785995,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.5151371174238033}",20,0,14.324913751565466,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.5099857462495653}",20,12,4.32371537701645,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.5048858887870696}",20,0,-10.04617261727762,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.4998370298991989}",25,0,-46.76090140290706,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
70,False,"{'a': 0.5, 'e': 0.49483865960020695}",25,8,1.5861078375379059,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.4898902730042049}",30,4,-8.289429111779652,"{0: 21, 1: 2, 2: 3, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.48499137027416284}",20,12,-7.497419689643404,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.4801414565714212}",30,10,-18.389761477458073,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.475340042005707}",20,11,-14.312899901184393,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.47058664158564995}",20,8,5.059763206146377,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.4658807751697934}",20,0,-31.587562905275497,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
77,False,"{'a': 0.5, 'e': 0.4612219674180955}",25,4,-12.657917835137596,"{0: 18, 1: 0, 2: 2, 3: 1, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.45660974774391455}",20,1,-56.591876513707845,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 2}",1
79,False,"{'a': 0.5, 'e': 0.4520436502664754}",20,10,13.208625322733763,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.44752321376381066}",20,0,-24.13904229941984,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
81,False,"{'a': 0.5, 'e': 0.44304798162617254}",20,0,15.151504167014464,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.4386175018099108}",25,14,17.9253592516313,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
