trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-73.42460420906704,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-116.02790172135488,"{0: 16, 1: 3, 2: 2, 3: 3, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-234.84519361363968,"{0: 11, 1: 4, 2: 5, 3: 1, 4: 4}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-178.57376840760884,"{0: 7, 1: 4, 2: 5, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-91.95603584159689,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.34757968404642,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-182.11046827172194,"{0: 11, 1: 1, 2: 3, 3: 2, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-72.5629600853755,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-49.84808528380718,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-120.32821831746111,"{0: 20, 1: 3, 2: 3, 3: 3, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",35,0,-126.24045180699385,"{0: 23, 1: 5, 2: 5, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-33.28180516371401,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.08299109833695,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-156.65066791227733,"{0: 10, 1: 8, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-110.42302055169583,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.16899091167556,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.29038510298493,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-113.35206650089768,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,13,-79.76508095550594,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-197.06807292704443,"{0: 17, 1: 4, 2: 4, 3: 2, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-197.8231168113094,"{0: 18, 1: 3, 2: 4, 3: 2, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-98.83672874400364,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-159.72457425452416,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-121.88998462958816,"{0: 18, 1: 2, 2: 8, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-166.7436962429753,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-127.44417354783111,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-127.68414333524485,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-148.52142749130695,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-153.2195456015538,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-121.99171429323047,"{0: 15, 1: 0, 2: 8, 3: 1, 4: 1}",0
